"Source:","/home/julius/Developpement/norns/norns_fork_pcb/norns_fork/norns_fork.kicad_sch"
"Date:","mar. 24 mai 2022 17:23:54"
"Tool:","Eeschema (6.0.4)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","43"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","SKU","automotive","category","current rating","detent","device class L1","device class L2","device class L3","digikey description","digikey part number","encoder type","height","lead free","library id","manufacturer","mouser description","mouser part number","number of circuits","package","pulses per rev","rohs","temperature range high","temperature range low","voltage rating DC"
"","","C1","C","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C2","C","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C3","C","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C4","C","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C5","C","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C6","C","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C7","C","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C8","C","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C9","C","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ENC1","PEC11R-4015F-N0024","norns_enc:PEC11R-4015F-N0024","norns_enc:Bourns-PEC11R-4015F-N0024-MFG","https://www.bourns.com/docs/product-datasheets/pec11r.pdf?sfvrsn=bb617cbf_7","","No","Enc","10mA","No","Electromechanical","Switches","Encoders","ROTARY ENCODER MECHANICAL 24PPR","PEC11R-4015F-N0024-ND","Incremental","22.3mm","Yes","5eb90586fce7ecd6","Bourns","Encoders 15mm SHAFT NO SWITCH","652-PEC11R-4015F-N24","1","PTH_ENC_12MM5_13MM4","24","Yes","+70°C","-30°C","5V"
